"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-01","9.17",,"0.00",,"0.0","0.0","43","56","34",,"  320","  350",,"18.1","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-02","12.53",,"0.00",,"0.0","0.0","51","67","37",,"  200","  210",,"29.1","36.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-03","9.84",,"0.12",,"0.0","0.0","60","63","57",,"  220","  220",,"21.0","25.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-04","19.01",,"0.00",,"0.0","0.0","56","63","42",,"  330","  310",,"36.0","45.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-05","15.88",,"0.00",,"0.0","0.0","52","64","42",,"  220","  240",,"29.1","36.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-06","8.50",,"0.00",,"0.0","0.0","57","75","39",,"  220","  200",,"23.0","30.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-07","9.17",,"0.24",,"0.0","0.0","62","69","44",,"   80","   90",,"21.9","31.1","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-08","13.42",,"0.03",,"0.0","0.0","44","44","39",,"   80","   50",,"25.1","34.0","    1",,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-09","10.07",,"0.02",,"0.0","0.0","41","43","39",,"   90","   40",,"17.0","23.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-10","8.05",,"0.07",,"0.0","0.0","46","57","41",,"  320","  320",,"21.9","28.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-11","12.75",,"0.00",,"0.0","0.0","57","63","47",,"  330","  280",,"29.1","38.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-12","5.82",,"0.00",,"0.0","0.0","54","67","38",,"  190","  220",,"15.0","19.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-13","9.17",,"0.00",,"0.0","0.0","58","75","44",,"  230","  200",,"21.9","27.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-14","6.49",,"0.12",,"0.0","0.0","61","63","52",,"   20","  230",,"17.0","21.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-15","8.05",,"0.00",,"0.0","0.0","59","70","48",,"   20","   30",,"23.9","32.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-16","9.40",,"0.00",,"0.0","0.0","61","71","50",,"  180","  190",,"17.0","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-17","7.83",,"0.15",,"0.0","0.0","63","74","55",,"  250","  250",,"17.0","21.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-18","6.93",,"0.00",,"0.0","0.0","68","81","54",,"   30","   10",,"18.1","23.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-19","12.75",,"0.00",,"0.0","0.0","62","67","49",,"   80","   90",,"19.9","23.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-20","10.74",,"2.01",,"0.0","0.0","60","76","50",,"  230","  230",,"29.1","35.1","    1",,"    1",,"    1",,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-21","11.63",,"0.82",,"0.0","0.0","63","66","51",,"  310","  270",,"25.1","35.1","    1",,"    1",,"    1",,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-22","13.20",,"0.00",,"0.0","0.0","58","73","47",,"  270","  250",,"45.0","70.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-23","15.21",,"0.00",,"0.0","0.0","48","52","43",,"  280","  260",,"28.0","38.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-24","16.55",,"0.00",,"0.0","0.0","47","57","39",,"  280","  330",,"28.0","36.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-25","9.17",,"0.00",,"0.0","0.0","48","58","37",,"  240","  230",,"16.1","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-26","7.38",,"0.00",,"0.0","0.0","54","64","45",,"   30","   40",,"16.1","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-27","11.18",,"0.00",,"0.0","0.0","54","60","48",,"  330","  340",,"23.0","29.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-28","13.87",,"0.00",,"0.0","0.0","59","71","51",,"  320","  340",,"25.1","33.1",,,,,,,,
